физика  А311/А315,қазақ тілі A103,алгебра және АБ А317/А319,физика А311/А315,алгебра және АБ А317/А319
физика  А311/А315,орыс тілі ж/е әд. A108,химия 121,физика А311/А315,алгебра және АБ А317/А319
алгебра және АБ А317/А319,Қазақстан тарихы A112,информатика А204/А207,геометрия А317/А319,қазақ әдебиеті А107
алгебра және АБ А317/А319,Қазақстан тарихы A112,информатика А204/А207,геометрия А317/А319,қазақ әдебиеті А107
ағылшын тілі А206/А212,геометрия А317/А319,құқық негіздері A107,дүн. тарихы A108,дене шынықтыру спорт зал
ағылшын тілі А206/А212,геометрия А317/А319,биология А115,орыс тілі ж/е әд. A108,дене шынықтыру спорт зал
,сынып сағаты A107,ағылшын тілі А206/А212,орыс тілі ж/е әд. A108,АӘД А004
,,ағыл. тілі(IELTS) А206/А212,,география 123
,,,,
,,,,
информатика А204/А207,геометрия А317/А319,химия 121,геометрия А317/А319,дене шынықтыру спорт зал
информатика А204/А207,геометрия А317/А319,алгебра және АБ А317/А319,геометрия А317/А319,дене шынықтыру спорт зал
ағылшын тілі А206/А212,қазақ тілі A103,ағылшын тілі А206/А212,орыс тілі ж/е әд. A108,дүн. тарихы 111
ағылшын тілі А206/А212,орыс тілі ж/е әд. A108,ағыл. тілі(IELTS) А206/А212,орыс тілі ж/е әд. A108,алгебра және АБ А317/А319
алгебра және АБ А317/А319,физика А311/А316,биология А115,физика А311/А315,алгебра және АБ А317/А319
алгебра және АБ А317/А319,физика А311/А316,құқық негіздері A107,физика А311/А315,АӘД А004
,Қазақстан тарихы A112,география 123,,қазақ әдебиеті А107
,Қазақстан тарихы A112,сынып сағаты А108,,қазақ әдебиеті А107
,,,,
,,,,
алгебра және АБ А317/А319,орыс тілі ж/е әд. A108,информатика А204/А207,орыс тілі ж/е әд. A108,қазақ әдебиеті А107
алгебра және АБ А317/А319,биология А115,информатика А204/А207,орыс тілі ж/е әд. A108,қазақ әдебиеті А107
физика  А311/А315,геометрия А317/А319,алгебра және АБ А317/А319,химия 121,физика А311/А315
физика  А311/А315,геометрия А317/А319,құқық негіздері A103,дүн. тарихы A111,физика А311/А315
Қазақстан тарихы A115,қазақ тілі A103,ағылшын тілі А206/А212,геометрия А317/А319,АӘД А004
Қазақстан тарихы A115,география 123,ағыл. тілі(IELTS) А206/А212,геометрия А317/А319,алгебра және АБ А317/А319
ағылшын тілі А206/А212,сынып сағаты A007,дене шынықтыру спорт зал,,алгебра және АБ А317/А319
ағылшын тілі А206/А212,,дене шынықтыру спорт зал,,
,,,,
,,,,
алгебра және АБ А217/А219,биология А115,физика А311/А316,АӘД А004,алгебра және АБ А217/А219
алгебра және АБ А217/А219,қазақ тілі A103,физика А311/А316,дүн. тарихы A112,алгебра және АБ А217/А219
ағылшын тілі A210/A211,геометрия А217/А219,алгебра және АБ А217/А219,құқық негіздері A112,дене шынықтыру спорт зал
ағылшын тілі A210/A211,геометрия А217/А219,химия 121,орыс тілі ж/е әд. 107,дене шынықтыру спорт зал
физика  А311/А316,орыс тілі ж/е әд. A111,информатика А204/А207,геометрия А217/А219,қазақ әдебиеті А107
физика  А311/А316,орыс тілі ж/е әд. A111,информатика А204/А207,геометрия А217/А219,қазақ әдебиеті А107
Қазақстан тарихы A115,сынып cағаты A311,,ағылшын тілі A217/A219,
Қазақстан тарихы A115,география 123,,ағыл. тілі(IELTS) A217/A219,
,,,,
,,,,
ағылшын тілі А206/А212,Қазақстан тарихы A112,құқық негіздері A103,орыс тілі ж/е әд. 107,физика А311/А315
алгебра және АБ А217/А219,биология А115,физика А311/А315,геометрия А217/А219,ағылшын тілі А206/А212
алгебра және АБ А217/А219,география 123,физика А311/А315,геометрия А217/А219,ағыл. тілі(IELTS) А206/А212
информатика А204/А207,геометрия А217/А219,дене шынықтыру спорт зал,қазақ тілі 103,алгебра және АБ А217/А219
информатика А204/А207,геометрия А217/А219,дене шынықтыру спорт зал,АӘД А004,алгебра және АБ А217/А219
,орыс тілі ж/е әд. A111,қазақ әдебиеті 103,сынып cағаты A007,
,орыс тілі ж/е әд. A111,қазақ әдебиеті 103,химия 121,
,,,,
,,,,
ағылшын тілі A210/A211,геометрия А217/А219,алгебра және АБ А217/А219,геометрия А217/А219,химия 121
информатика А204/А207,орыс тілі ж/е әд. A111,қазақ әдебиеті 103,орыс тілі ж/е әд. 107,алгебра және АБ А217/А219
информатика А204/А207,орыс тілі ж/е әд. A111,қазақ әдебиеті 103,қазақ тілі 103,алгебра және АБ А217/А219
алгебра және АБ А217/А219,Қазақстан тарихы A112,физика А311/А315,ағылшын тілі A213/A215,физика А311/А315
алгебра және АБ А217/А219,Қазақстан тарихы A112,физика А311/А315,ағыл. тілі(IELTS) A213/A215,физика А311/А315
сынып cағаты A103,,биология А115,дене шынықтыру спорт зал,#ССЫЛ!
,,география 123,АӘД А004,
,,,,
,,,,
физика A301/A312,каз. яз и лит-ра A210/A211,физ-ра спорт. зал,основы право 405,англ. язык(IELTS) A206/A212
информатика А202/А208,геометрия А209/А302,физика A301/A312,русская лит-ра 109,алгебра и НА A209/A302
информатика А202/А208,геометрия А209/А302,физика A301/A312,русская лит-ра 109,алгебра и НА A209/A302
алгебра и НА A209/A210,ист. Казахстана 405,классный час A108,геометрия А209/А206,русский язык 109
алгебра и НА A209/A210,ист. Казахстана 405,биология А103,геометрия А209/А206,каз. яз и лит-ра A210/A211
,англ. язык A206/A212,алгебра и НА А209/A210,НВП А004,география 315
,англ. язык A206/A212,,химия А115,
,,,,
,,,,
ист. Казахстана 405,основы право 405,алгебра и НА А209/210,русская лит-ра 109,алгебра и НА A209/A305
алгебра и НА 210/A209,англ. язык A206/A212,информатика А202/А208,геометрия А209/210,русский язык 109
алгебра и НА 210/A209,англ. язык A206/A212,информатика А202/А208,геометрия А209/210,каз. яз и лит-ра A210/A211
физика A301/A312,геометрия А209/A301,физика A301/A312,физ-ра спорт. зал,англ. язык A206/A212
физика A301/A312,геометрия А209/A301,физика A301/A312,физ-ра спорт. зал,англ. язык(IELTS) A206/A212
классный час A111,каз. яз и лит-ра A210/A211,биология А103,химия А115,
,каз. яз и лит-ра A210/A211,,НВП А004,
,,,,
,,,,
алгебра и НА А214/А316,англ. язык A206/A212,физика A301/A312,НВП А004,русский язык А111
ист. Казахстана 405,геометрия А214/А316,алгебра и НА А214/А316,всемир. история 405,алгебра и НА А214/А316
ист. Казахстана 405,геометрия А214/А316,география 315,основы право 405,алгебра и НА А214/А316
информатика А202/А208,каз. яз и лит-ра A210/A211,русская лит-ра A111,геометрия А214/А316,физика A301/A312
информатика А202/А208,каз. яз и лит-ра A210/A211,русская лит-ра A111,геометрия А214/А316,физика A301/A312
,физ-ра спорт. зал,классный час A004,,англ. язык A206/A212
,физ-ра спорт. зал,биология А103,,англ. язык(IELTS) A206/A212
,,,,
,,,,
НВП А004,физика A301/A312,алгебра и НА А214/А316,геометрия А214/А316,алгебра и НА А214/А316
алгебра и НА А214/А316,каз. яз и лит-ра A210/A211,физ-ра спорт. зал,физика A301/A312,англ. язык 222/218
алгебра и НА А214/А316,каз. яз и лит-ра A210/A211,физ-ра спорт. зал,физика A301/A312,англ. язык(IELTS) 222/218
ист. Казахстана 405,геометрия А214/А316,информатика А202/А208,всемир. история 405,каз. яз и лит-ра A210/A211
ист. Казахстана 405,геометрия А214/А316,информатика А202/А208,основы право 405,русский язык А108
,англ. язык A308/A310,русская лит-ра A111,классный час 109,биология А103
,англ. язык A308/A310,русская лит-ра A111,,
,,,,
,,,,
каз. яз и лит-ра 114/116,геометрия А214/А316,химия А111,физика A301/A312,англ. язык(IELTS) 222/218
физика A301/A312,ист. Казахстана 405,русская лит-ра A111,геометрия А214/А316,основы право 405
физика A301/A312,ист. Казахстана 405,русская лит-ра A111,геометрия А214/А316,русский язык 109
алгебра и НА А214/А316,англ. язык A308/A310,физ-ра спорт. зал,информатика А202/А208,алгебра и НА А214/А316
алгебра и НА А214/А316,англ. язык A308/A310,физ-ра спорт. зал,информатика А202/А208,алгебра и НА А214/А316
НВП А004,классный час 405,каз. яз и лит-ра 114/116,,всемир. история 405
,биология А103,,,география 315
,,,,
,,,,
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
